Node,Closeness Centrality
10.1136/bmj.b2680,0.00010975374842648962
7855331,0.000526618892676762
10.1055/s-2003-41136,0.00031473820154429813
10.1055/s-2002-33047,8.893611066972449e-05
10.1111/j.1365-2990.2006.00821.x,0.00010992279540134752
10.1111/j.1365-2990.2004.00577.x,0.00015736910077214907
10.1212/wnl.54.5.1033,0.0013968364551528605
10.1002/(sici)1097-4598(199606)19:6<787::aid-mus18>3.0.co,0.001262295694573946
2-i,0.0025942223766340965
10.1002/(sici)1097-4598(199612)19:12<1605::aid-mus11>3.0.co,0.001372249792452927
2-q,0.0025644299300711833
10.1002/(sici)1097-4598(199706)20:6<651::aid-mus1>3.0.co,0.001596304998034191
2-7,0.002234810847838979
10342053,8.893611066972449e-05
10.1055/s-2008-1041132,0.003241721233911457
10.1016/s0889-857x(02)00030-3,0.0005968081110731511
10.1016/s0889-857x(02)00023-6,8.893611066972449e-05
8625545,0.0008557538667860636
10.1006/mgme.2001.3256,0.00029590975048519955
10.1093/brain/119.6.1887,0.0019472959112931856
10.1212/wnl.48.4.863,0.0015008505636126342
10.1002/(sici)1097-4598(199710)20:10<1242::aid-mus6>3.0.co,0.001186467111276224
2-c,0.0019324940261803876
10.1002/(sici)1097-4598(199812)21:12<1724::aid-mus15>3.0.co,0.0005214879659483722
2-2,0.0025209748897087126
10.1002/(sici)1097-4598(200006)23:6<970::aid-mus20>3.0.co,0.0009823024770539283
10.1212/01.wnl.0000192103.24796.42,0.0002212556899588268
10.1007/s10067-003-0715-4,0.00010992279540134752
10.1212/01.wnl.0000192311.78890.3e,9.924357785503616e-05
10.1212/01.wnl.0000192110.22621.09,0.00011875396304699211
10.1212/01.wnl.0000192127.63013.8d,0.0002334055004034199
10.1212/01.wnl.0000192128.13875.1e,0.000249317563577461
10.1212/01.wnl.0000192108.02654.ac,9.924357785503616e-05
10.1212/01.wnl.0000192109.81449.7a,8.893611066972449e-05
10.1212/01.wnl.0000192307.15103.83,9.924357785503616e-05
10.1212/01.wnl.0000192260.33106.bb,0.00023878301863756828
9160898,0.0005843004903959658
10.1212/01.wnl.0000192107.17175.39,0.0001209531105108253
10.1212/01.wnl.0000192129.65677.87,0.0002841906417693375
10.1212/01.wnl.0000192259.34541.e4,8.893611066972449e-05
10.1212/01.wnl.0000192306.98198.ec,0.00010992279540134752
8574634,8.893611066972449e-05
9010966,8.893611066972449e-05
10.1016/j.jchemneu.2004.03.009,8.893611066972449e-05
10.2353/ajpath.2006.051232,0.00013231537240729677
10.1007/s11940-999-0008-6,0.0007319748584362014
10.1212/wnl.56.3.323,0.0010518555003234406
10.2169/internalmedicine.42.1035,0.0001343923450120281
10.1016/s0304-3940(98)00657-0,0.001500584000419547
10.1111/j.1365-2249.1994.tb06604.x,0.0022141423570276146
10.1007/s11940-000-0019-9,8.893611066972449e-05
10.1034/j.1600-0404.2001.103002131.x,0.0005764518254981944
10.1007/bf01540896,0.0007884396248919217
10.1093/brain/123.2.374,0.0007291868526136493
10.1007/s11926-002-0088-8,0.0004205553555117776
10.1212/wnl.48.1.29,0.0017743989302369339
10.1212/wnl.54.1.65,0.0011802682557911178
10.1212/wnl.58.7.1081,0.0006157612898732925
10.1002/mus.20766,8.893611066972449e-05
10.1002/mus.20709,8.893611066972449e-05
